euphemism,taboo,source
a certain age,old,\cite{OED}
aboriginal,native,\cite{Yandell_2015}
african american,black person,\cite{Martin_1991}
armed conflict,war,--
big-boned,fat,\cite{OED}
bosom,breast,\cite{Rawson_1981}
bum,tramp,--
bust,breast,\cite{Rawson_1981}
cannabis,marijuana,\cite{Woelfel_2019}
capital punishment,death penalty,\cite{Rawson_1981}
chest,breast,\cite{Rawson_1981}
climate change,global warming,\cite{Sagi_Gann_Matlock_2015}
collateral damage,civilian casualties,\cite{Rawson_1981}
cultural cleansing,genocide,\cite{OED}
custodian,janitor,\cite{Rawson_1981}
deprived,poor,\cite{Rawson_1981}
detainee,prisoner,\cite{Rawson_1981}
detention camp,prison,\cite{Rawson_1981}
developed country,first world country,\cite{Silver_2015}
developing,underdeveloped,\cite{Rawson_1981}
developing country,third world country,\cite{Silver_2015}
developmentally disabled,retarded,--
disabled,crippled,\cite{O'Conner_Kellerman_2012}
disabled,handicapped,\cite{O'Conner_Kellerman_2012}
disadvantaged,poor,\cite{Rawson_1981}
drinking problem,alcoholism,--
enhanced interrogation technique,torture,--
ethnic cleansing,genocide,--
exterminate,murder,--
family jewel,testicle,\cite{OED}
fatality,death,--
first nation,indian band,--
first nations,aboriginal,--
first nations,native,--
freedom fighter,rebel,--
gay,homosexual,\cite{Rawson_1981}
gay,queer,\cite{Rawson_1981}
global south,third world,\cite{Silver_2015}
go to a better place,die,\cite{OED}
handicapped,crippled,\cite{O'Conner_Kellerman_2012}
hobo,bum,--
homeless,hobo,--
homemaker,housewife,\cite{Rawson_1981}
illegal immigrant,illegal alien,\cite{Nowrasteh_2017}
in a delicate condition,pregnant,\cite{Rawson_1981}
in the family way,pregnant,\cite{Rawson_1981}
income inequality,poverty,--
indigenous,aboriginal,--
indigenous,native,\cite{Yandell_2015}
indigent,poor,\cite{Rawson_1981}
inebriated,drunk,\cite{Rawson_1981}
inner city,ghetto,--
insane,crazy,\cite{Rawson_1981}
intoxicated,drunk,\cite{Rawson_1981}
invalid,cripple,--
lady,woman,\cite{Lakoff_1973} \cite{Rawson_1981}
latino,hispanic,\cite{Hayes-Bautista_Chapa_1987}
latrine,toilet,\cite{Rawson_1981}
lavatory,toilet,\cite{Rawson_1981}
little boy 's room,bathroom,\cite{OED}
little girl 's room,bathroom,\cite{OED}
long sleep,death,--
low-income,poor,\cite{Rawson_1981}
lunatic,insane,\cite{Rawson_1981}
mental illness,insanity,\cite{Rawson_1981}
mentally deranged,lunatic,\cite{Rawson_1981}
mentally disabled,retarded,--
mentally handicapped,retarded,--
mentally ill,insane,\cite{Rawson_1981}
mistruth,lie,--
nerve doctor,psychiatrist,\cite{OED}
neutralize,kill,\cite{OED}
n-word,nigger,\cite{OED}
oldest profession,prostitution,\cite{OED}
overweight,fat,--
overweight,obese,\cite{Collier_2010}
pass away,die,\cite{Rawson_1981}
perish,die,--
physically challenged,disabled,--
plump,overweight,\cite{Rawson_1981}
plump,fat,\cite{Rawson_1981}
plus-sized,fat,--
portly,fat,\cite{Rawson_1981}
problem drinker,alcoholic,--
pro-life,anti-abortion,--
psychiatric hospital,insane asylum,--
put to sleep,kill,\cite{Rawson_1981}
regime change,coup,\cite{OED}
same-sex,gay,--
sex worker,prostitute,\cite{OED}
sexual assault,rape,\cite{Rawson_1981}
sexually transmitted infection,sexually transmitted disease,--
special needs,retarded,--
stout,fat,\cite{OED}
street person,homeless person,--
targeted killing,assassination,--
terminate with extreme prejudice,assassinate,\cite{OED} \cite{Rawson_1981}
terminological inexactitude,lie,\cite{OED}
the clap,gonorrhea,--
tramp,vagrant,\cite{Rawson_1981}
underdeveloped,primitive,\cite{Rawson_1981}
underpriviledged,poor,\cite{Rawson_1981}
undocumented immigrant,illegal alien,\cite{Nowrasteh_2017}
venereal disease,syphilis,--
water closet,toilet,\cite{OED}
weed,marijuana,\cite{Woelfel_2019}
